"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.scalability.QT.+OR+.QT.number+of+nodes.QT.+OR+.QT.number+of+resources.QT.%29+AND+.QT.intrusion+detection+system.QT.%29",2016/09/19 11:06:38,"Scalability","(""scalability"" OR ""number of nodes"" OR ""number of resources"") AND ""intrusion detection system""",IEEE
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"RMR: Reliability Map Routing for Tactical Mobile Ad Hoc Networks","A. A. Gohari; R. Pakbaz; P. M. Melliar-Smith; L. E. Moser; V. Rodoplu","Department of Electrical and Computer Engineering, University of California, Santa Barbara, CA 93106-9560","IEEE Journal on Selected Areas in Communications","","2011","29","10","1935","1947","We present a novel framework for spatial routing through difficult terrains with possibly untrustworthy regions in tactical mobile ad hoc networks. We describe a protocol, named ""Reliability Map Routing"" (RMR), which uses end-to-end Quality of Service metrics that include spatial reliability and trust. The RMR protocol reactively discovers routes over spatial cells whose local reliabilities are distributed throughout the network via a fast dissemination algorithm. By using a spatial approach where reliability and trust are attributed to space rather than to nodes, RMR is able to find reliable routes that persist for longer durations than those discovered by node-centric protocols. Furthermore, RMR is capable of reliable geocasting with low overhead. Via QualNet simulation studies, we compare the performance of the RMR protocol in terms of packet delivery ratio, delay, and overhead, and quantify the effects of node density, velocity, and traffic load on protocol performance. Our results indicate that the RMR protocol performs well in high mobility, high density scenarios because of its controlled routing overhead and spatial approach to routing.","0733-8716;07338716","","10.1109/JSAC.2011.111204","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6081347","Mobile ad hoc networks;Reliability;Routing protocols;Trust","Mathematical model;Military communication;Reliability;Routing protocols","military communication;mobile ad hoc networks;quality of service;routing protocols;telecommunication network reliability","QualNet simulation;RMR protocol;dissemination algorithm;node density;node-centric protocol;packet delivery ratio;quality of service metric;reliability map routing protocol;tactical mobile ad hoc network;traffic load","","2","","30","","","December 2011","","IEEE","IEEE Journals & Magazines"
"A survey of internet worm detection and containment","P. Li; M. Salour; X. Su","San Jose State Univ., San Jose, CA","IEEE Communications Surveys & Tutorials","","2008","10","1","20","35","Self-duplicating, self-propagating malicious codes known as computer worms spread themselves without any human interaction and launch the most destructive attacks against computer networks. At the same time, being fully automated makes their behavior repetitious and predictable. This article presents a survey and comparison of Internet worm detection and containment schemes. We first identify worm characteristics through their behavior, and then classify worm detection algorithms based on the parameters used in the algorithms. Furthermore, we analyze and compare different detection algorithms with reference to the worm characteristics by identifying the type of worms that can and cannot be detected by these schemes. After detecting the existence of worms, the next step is to contain them. This article explores the current methods used to slow down or stop the spread of worms. The locations to implement detection and containment, as well as the scope of each of these systems/methods, are also explored in depth. Finally, this article points out the remaining challenges of worm detection and future research directions.","1553-877X;1553877X","","10.1109/COMST.2008.4483668","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4483668","","Algorithm design and analysis;Computer networks;Computer security;Computer worms;Detection algorithms;IP networks;Internet;Intrusion detection;Storage area networks","Internet;invasive software","Internet worm detection;computer networks;containment schemes;human interaction;self-duplicating codes;self-propagating malicious codes","","43","5","60","","","First Quarter 2008","","IEEE","IEEE Journals & Magazines"
"Role-based collaborative information collection model for botnet detection","H. Wang; Z. Gong","School of Computer, National University of Defense Technology, Changsha, Hunan, 410073, China","Collaborative Technologies and Systems (CTS), 2010 International Symposium on","","2010","","","473","480","With the growing number of botnet attacks, the botnet detection is becoming increasingly important for the network security. To enhance the existing botnet detection systems which are short of efficient information collection functions, this paper presents a collaborative information collection model with a new 5-tuple structural mode. In the model, we introduce the static and dynamic roles to meet the requirements of information collection and collaboration respectively. Moreover, we give an efficient design for the collection agent and its communication mechanism, which are the core components in the model. Finally, a representative example is given to show that our design for the collection agent can effectively collect the information about the widespread botnet activities, which can help to improve the detection performance and accuracy for a botnet detection system.","","","10.1109/CTS.2010.5478475","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5478475","Botnet;Collaborative;Information Collection;Network Security;Role","Collaboration;Collaborative work;Computer networks;Computer security;Information analysis;Information security;Intrusion detection;Local area networks;National security;Performance analysis","data acquisition;invasive software","5-tuple structural mode;botnet detection;network security;role based collaborative information collection model","","2","","28","","","17-21 May 2010","","IEEE","IEEE Conference Publications"
"Quantifying resiliency and detection latency of intrusion detection structures","M. Striki; K. Manousakis; D. Kindred; D. Sterne; G. Lawler; N. Ivanic; G. Tran","Telcordia Technologies, Applied Research, USA","MILCOM 2009 - 2009 IEEE Military Communications Conference","","2009","","","1","8","A network intrusion detection (ID) system detects malicious behavior by analyzing network traffic. Malicious behavior may target the disruption of communications, infrastructure services, and applications. A number of ID techniques proposed for dynamic wireless networks (e.g., sensor, ad-hoc and mobile ad-hoc networks) are based on the creation of an overlay hierarchy or other structure to organize the collection and processing of ID data. The particular structure chosen may significantly impact the ID system's performance with respect to network overhead, responsiveness, scalability, detection latency, resiliency to failures, and other factors. In this paper, we propose the formal definition and quantification of resiliency and detection latency. Specifically, we introduce analytical expressions that map ID structures to the metric space of real numbers. We define this mapping for a) various types of tree structures that have been proposed previously for dynamic wireless systems and b) a hypercube structure that presents promising resiliency characteristics. This analysis reveals important tradeoffs among the various ID structures under consideration.","2155-7578;21557578","","10.1109/MILCOM.2009.5379997","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5379997","","Ad hoc networks;Delay;Hypercubes;Intrusion detection;Mobile communication;Scalability;System performance;Telecommunication traffic;Tree data structures;Wireless sensor networks","ad hoc networks;mobile communication;telecommunication security;telecommunication traffic;trees (mathematics)","detection latency;dynamic wireless network;hypercube structure;malicious behavior detection;network intrusion detection;network traffic;resiliency quantification;tree structure","","1","","16","","","18-21 Oct. 2009","","IEEE","IEEE Conference Publications"
"Preserving Privacy through Data Control in a Cloud Computing Architecture Using Discretion Algorithm","D. Jayalatchumy; P. Ramkumar; D. Kadhirvelu","PKIET, Karaikal, India","Emerging Trends in Engineering and Technology (ICETET), 2010 3rd International Conference on","","2010","","","456","461","Cloud computing is an On-demand self-service Internet infrastructure where a customer can pay and use only what is needed, managed by an API. The SP plays an active role in transmitting information across the cloud. Privacy for the information through authentication is being considered important. Providing security requires more than user authentication with passwords or digital certificates. The discretion algorithm has been designed and the IDS provide passive security solution. Since the context data is stored by the service provider the control of the data propagate to the whole cloud chain.","2157-0477;21570477","","10.1109/ICETET.2010.103","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5698368","Data control;Discretion;Privacy;Security","","cloud computing;data privacy;message authentication","API;IDS;cloud computing architecture;data control;digital certificates;discretion algorithm;on-demand self-service Internet infrastructure;passive security solution;password;privacy preservation;user authentication","","2","","18","","","19-21 Nov. 2010","","IEEE","IEEE Conference Publications"
"Security in nano communication: Challenges and open research issues","F. Dressler; F. Kargl","Computer and Communication Systems, Institute of Computer Science, University of Innsbruck, Austria","2012 IEEE International Conference on Communications (ICC)","","2012","","","6183","6187","Nano communication is one of the fastest growing emerging research fields. In recent years, much progress has been achieved in developing nano machines supporting our needs in health care and other scenarios. However, experts agree that only the interaction among nano machines allows to address the very complex requirements in the field. Drug delivery and environmental control are only two of the many interesting application domains, which, at the same time, pose many new challenging problems. Very relevant communication concepts have been investigated such as RF radio communication in the terra hertz band or molecular communication based on transmitter molecules. Yet, one question has not been considered so far and that is nano communication security, i.e., will it be possible to protect such systems from manipulation by malicious parties? Our objective is to provide some first insights into the security challenges and to highlight some of the open research challenges in this field. The main observation is that especially for molecular communication existing security and cryptographic solutions might not be applicable. In this context, we coin the term biochemical cryptography that might lead to significant improvements in the field of molecular communication. We also point to relevant problems that have similarities with typical network architectures but also completely new challenges.","1550-3607;15503607","","10.1109/ICC.2012.6364977","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6364977","","Authentication;Cryptography;Molecular communication;Nanobioscience;Nanoscale devices;Protocols","cryptography;drug delivery systems;nanobiotechnology;telecommunication security","biochemical cryptography;drug delivery;health care;molecular communication;nanocommunication;security","","3","","20","","","10-15 June 2012","","IEEE","IEEE Conference Publications"
"Transport and application protocol scrubbing","G. R. Malan; D. Watson; F. Jahanian; P. Howell","Dept. of Electr. Eng. & Comput. Sci., Michigan Univ., Ann Arbor, MI, USA","INFOCOM 2000. Nineteenth Annual Joint Conference of the IEEE Computer and Communications Societies. Proceedings. IEEE","","2000","3","","1381","1390 vol.3","This paper describes the design and implementation of a protocol scrubber, a transparent interposition mechanism for explicitly removing network attacks at both the transport and application protocol layers. The transport scrubber supports downstream passive network-based intrusion detection systems; whereas the application scrubbing mechanism supports transparent fail-closed active network-based intrusion detection systems. The transport scrubber's role is to convert ambiguous network flows into well-behaved flows that are unequivocally interpreted by all downstream endpoints. As an example, this paper presents the implementation of a TCP/IP scrubber that eliminates insertion and evasion attacks-attacks that use ambiguities to subvert detection-on passive network-based intrusion detection systems, while preserving high performance. The application protocol scrubbing mechanism is used as a substrate for building fail-closed active network based intrusion detections systems that can respond to attacks by eluding or modifying application data flows in real-time. This paper presents the high performance implementation of a general purpose transparent application-level scrubbing toolkit in the FreeBSD kernel","0743-166X;0743166X","","10.1109/INFCOM.2000.832535","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=832535","","Application software;Banking;Business;Intrusion detection;Kernel;Mission critical systems;Monitoring;Pattern recognition;Real time systems;Transport protocols","Internet;protocols;security of data;software tools;telecommunication computing;telecommunication security;transport protocols","FreeBSD kernel;Internet;TCP/IP scrubber;ambiguous network flows;application protocol scrubbing;downstream endpoints;downstream passive network-based intrusion detection;evasion attacks;insertion attacks;network attacks;protocol layers;transparent application-level scrubbing toolkit;transparent fail-closed active network-based intrusion detection;transparent interposition mechanism;transport protocol scrubbing","","15","4","21","","","26-30 Mar 2000","26 Mar 2000-30 Mar 2000","IEEE","IEEE Conference Publications"
"An approach to detect malicious activities in SCADA systems","T. C. Pramod; N. R. Sunitha","Dept. of Comput. Sci. & Eng., Siddaganga Inst. of Technol., Tumkur, India","Computing, Communications and Networking Technologies (ICCCNT),2013 Fourth International Conference on","","2013","","","1","7","Supervisory Control and Data Acquisition System (SCADA) is an emerging application for industrial automation. It is being widely used in critical infrastructure for monitoring and controlling the activities. The collaborative environment and interconnectivity of SCADA system needs communications and transmission of sensed real time data like status of machines, breaks and leakages in the system across various devices in the industrial plant. Such real time data provoke security breaches to SCADA systems and results in compromise of availability, integrity, confidentiality and trust relationship between the devices of SCADA systems. As the numbers of deliberate cyber attacks on these systems are increasing, providing a scheme to identify malicious activities and defend the attacks; thereby create secure environment for SCADA systems is an essential task. By considering constraints and efficiency requirements for such networks, we are proposing a scheme that uses Log to identify some malicious activities through continuous monitoring. In Log, we have only prioritized some parameters that help us to detect some vulnerable activities and at node level by using cooperative monitoring the nodes itself takes care of some attacks. In this new approach Log analysis for the identification of malicious activities is made using cluster based architecture. This work also considers the constraints of the SCADA system thereby providing an elegant identification of malicious activities for the current SCADA system.","","","10.1109/ICCCNT.2013.6726619","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6726619","Aggregation;ICS-Industrial control system;Log Management;SCADA;attack","Computer architecture;Jamming;Magnetic heads;Monitoring;SCADA systems;Security;Sensors","SCADA systems;control engineering computing;industrial control;industrial plants;production engineering computing;security of data;system monitoring","Log analysis approach;SCADA systems;cluster based architecture;cooperative monitoring;critical infrastructure;cyber attacks;human machine interface;industrial automation;industrial plant;malicious activity detection;malicious activity identification;node level;supervisory control and data acquisition system","","2","","10","","","4-6 July 2013","","IEEE","IEEE Conference Publications"
"Cooperative cross layer detection for blackhole attack in VANET-OLSR","R. Baiad; H. Otrok; S. Muhaidat; J. Bentahar","Department of Electrical and Computer Engineering, Khalifa University of Science, Technology and Research, Abu Dhabi, UAE","2014 International Wireless Communications and Mobile Computing Conference (IWCMC)","","2014","","","863","868","In this paper, we address the problem of detecting blackhole attack targeting the Multi Point Relays (MPRs), using Vehicular Ad hoc networks-Secure Optimized Link State Routing protocol (VANET-OLSR). In the literature, watchdog model was proposed to detect network related attacks. However, this technique relies on routing level monitoring, which suffers from high false positives due to channel collision. As a solution to improve the watchdog detection, we propose a cooperative intrusion detection system based on cross layer architecture, that correlates both MAC and network layers detections. This is achieved by (1) monitoring the number of RTS/CTS (request to send/clear to send) requests of the watchdogs and the detected nodes at the MAC layer; and (2) recalculating watchdogs detection percentage after aggregating the results with MAC monitors. Cooperative monitoring in both network and MAC levels helps recognize the presence of channel collision and hence, reduces the false alarm rate. Simulation results corroborate that the use of cooperative cross layer design improves the detection percentage and minimizes the false positive rate.","2376-6492;23766492","","10.1109/IWCMC.2014.6906469","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6906469","Cooperative;VANETs;cross layer;packet forward","Cross layer design;Intrusion detection;Monitoring;Routing;Routing protocols;Vehicles","access protocols;cooperative communication;relay networks (telecommunication);routing protocols;vehicular ad hoc networks","MAC monitors;MPR;RTS-CTS;VANET-OLSR;blackhole attack detection;channel collision;clear to send;cooperative cross layer detection;cooperative intrusion detection;cooperative monitoring;cross layer architecture;false alarm rate;multipoint relays;network layers detections;request to send;routing level monitoring;secure optimized link state routing protocol;vehicular ad hoc networks;watchdog detection","","0","","19","","","4-8 Aug. 2014","","IEEE","IEEE Conference Publications"
"Malicious node detection using ID-based authentication technique","A. Gupta; P. Mohit; A. Karati; R. Amin; G. P. Biswas","Department of Computer Science and Engineering, Indian School of Mines, Dhanbad-826004, India","2016 3rd International Conference on Recent Advances in Information Technology (RAIT)","","2016","","","398","403","In ad-hoc as well as internet networks, there may exist several malicious nodes which may reduce system reliability and robustness of the network. Therefore, detection of malicious node in the networks is a vibrant research area. For this, several techniques have been adopted in the literature. In this paper, we proposed malicious node detection protocol using authentication technique for ad hoc as well as internet networks. As the protocol depends on one-way hash operation and does not consider any high computation such as exponentiation or pairing computation, so it achieves high performance. Besides, the number of message passes is also reduced to authenticate a node within the network. The proposed protocol is simulated using AVISPA software, and the simulation results make certain that the protocol is SAFE under OFMC and CL-AtSe models. In addition, the complexities of the protocol are satisfactory.","","","10.1109/RAIT.2016.7507935","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7507935","AVISPA Simulation;Authentication Technique;Hash-based Authentication;Malicious Node Detection","Ad hoc networks;Authentication;Internet;Nickel;Routing protocols;Servers","Internet;ad hoc networks;computer network security;cryptographic protocols","AVISPA software;CL-AtSe model;ID-based authentication technique;Internet networks;OFMC model;ad-hoc networks;malicious node detection protocol;protocol simulation","","","","","","","3-5 March 2016","","IEEE","IEEE Conference Publications"
